time audio->transcript (s),transcript,whisper confidence,WER,CER,time protocol input->output (s),protocol prediction,protocol confidence,"protocol correct? (1 = True, 0 = False, -1=None given)",onehot
3725,,0.875178,0,0,-1,Protocol is not suggested due to receiving blank space as transcript,-1,0,-1,-1,-1,-1,-1,-1
9199,’s more than happy to trade off with you. ,0.85441,0,0,0.15826973599905614,medical - altered mental status (protocol 3 - 15),0.6429049968719482,0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0]",one hot GT,tn,fp,fn,tp
3838,’s more than happy to trade off with you. 30% 5 7 year old female who is alert and oriented on her front porch waiting for me. ,0.777662,0,0,0.13248649000161095,medical - altered mental status (protocol 3 - 15),0.5554218888282776,0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0]",one hot GT,tn,fp,fn,tp
3807,’s more than happy to trade off with you. 30% 5 7 year old female who is alert and oriented on her front porch waiting for me. ’m going to be a mass patient complains of a tingling sensation and her chest. ,0.68416,0,0,0.13403057400137186,medical - stroke/tia (protocol 3 - 5),0.19970926642417908,0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 0]",one hot GT,tn,fp,fn,tp
3753,’s more than happy to trade off with you. 30% 5 7 year old female who is alert and oriented on her front porch waiting for me. ’m going to be a mass patient complains of a tingling sensation and her chest. ’s ready and towards her left arm she has a complaint ,0.672558,0,0,0.1370383790053893,medical - stroke/tia (protocol 3 - 5),0.8046541213989258,0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 0]",one hot GT,tn,fp,fn,tp
3757,’s more than happy to trade off with you. 30% 5 7 year old female who is alert and oriented on her front porch waiting for me. ’m going to be a mass patient complains of a tingling sensation and her chest. ’s ready and towards her left arm she has a complaint of the non-freductive cough and generalized body she rates her discomfort. ,0.721885,0,0,0.13204596199648222,medical - chest pain - cardiac suspected (protocol 2 - 1),0.6461862921714783,1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0]",one hot GT,tn,fp,fn,tp
3797,’s more than happy to trade off with you. 30% 5 7 year old female who is alert and oriented on her front porch waiting for me. ’m going to be a mass patient complains of a tingling sensation and her chest. ’s ready and towards her left arm she has a complaint of the non-freductive cough and generalized body she rates her discomfort. rhyth at around 2 out of 10 patient also has a recent diagnosis of ,0.719534,0,0,0.13070401499862783,medical - chest pain - cardiac suspected (protocol 2 - 1),0.6957696080207825,1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0]",one hot GT,tn,fp,fn,tp
3884,’s more than happy to trade off with you. 30% 5 7 year old female who is alert and oriented on her front porch waiting for me. ’m going to be a mass patient complains of a tingling sensation and her chest. ’s ready and towards her left arm she has a complaint of the non-freductive cough and generalized body she rates her discomfort. rhyth at around 2 out of 10 patient also has a recent diagnosis of ’s of incitis but denies shortness of breath and upon the assessment her leg. ,0.685998,0,0,0.1415132359979907,medical - chest pain - cardiac suspected (protocol 2 - 1),0.15770402550697327,1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0]",one hot GT,tn,fp,fn,tp
3653,’s more than happy to trade off with you. 30% 5 7 year old female who is alert and oriented on her front porch waiting for me. ’m going to be a mass patient complains of a tingling sensation and her chest. ’s ready and towards her left arm she has a complaint of the non-freductive cough and generalized body she rates her discomfort. rhyth at around 2 out of 10 patient also has a recent diagnosis of ’s of incitis but denies shortness of breath and upon the assessment her leg. her lung sounds are clear her 12 lead ECG show ,0.781459,0,0,0.1417812080035219,medical - chest pain - cardiac suspected (protocol 2 - 1),0.35059669613838196,1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0]",one hot GT,tn,fp,fn,tp
3876,’s more than happy to trade off with you. 30% 5 7 year old female who is alert and oriented on her front porch waiting for me. ’m going to be a mass patient complains of a tingling sensation and her chest. ’s ready and towards her left arm she has a complaint of the non-freductive cough and generalized body she rates her discomfort. rhyth at around 2 out of 10 patient also has a recent diagnosis of ’s of incitis but denies shortness of breath and upon the assessment her leg. her lung sounds are clear her 12 lead ECG show ’s going to show a heart rate of 106 with sinus tachycardia without ,0.720494,0,0,0.1364944109955104,medical - chest pain - cardiac suspected (protocol 2 - 1),0.32186514139175415,1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0]",one hot GT,tn,fp,fn,tp
3935,’s more than happy to trade off with you. 30% 5 7 year old female who is alert and oriented on her front porch waiting for me. ’m going to be a mass patient complains of a tingling sensation and her chest. ’s ready and towards her left arm she has a complaint of the non-freductive cough and generalized body she rates her discomfort. rhyth at around 2 out of 10 patient also has a recent diagnosis of ’s of incitis but denies shortness of breath and upon the assessment her leg. her lung sounds are clear her 12 lead ECG show ’s going to show a heart rate of 106 with sinus tachycardia without ’s signs of ischemia or stemi she's respirating 18 times in a minute ,0.704363,0,0,0.1362587830008124,medical - chest pain - cardiac suspected (protocol 2 - 1),0.9618965983390808,1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0]",one hot GT,tn,fp,fn,tp
